sim_time,real_time,truck_id,mode,SOC(%),position(m),velocity(km/h)
81.0067,1.76008e+09,truck2,FV2,66.7954,0,0
81.1067,1.76008e+09,truck2,FV2,97.7268,0,0
81.1867,1.76008e+09,truck2,FV2,97.8819,0,0
81.2667,1.76008e+09,truck2,FV2,98.0766,0,0
81.4267,1.76008e+09,truck2,FV2,98.2918,0,0
81.5267,1.76008e+09,truck2,FV2,98.5093,0,0
81.6067,1.76008e+09,truck2,FV2,98.7141,0,0
81.6867,1.76008e+09,truck2,FV2,98.8971,0,0
81.7667,1.76008e+09,truck2,FV2,99.0544,0,0
81.8667,1.76008e+09,truck2,FV2,99.186,0,0
82.0267,1.76008e+09,truck2,FV2,99.2945,0,0
82.1267,1.76008e+09,truck2,FV2,99.3834,0,0
82.2067,1.76008e+09,truck2,FV2,99.4562,0,0
82.2867,1.76008e+09,truck2,FV2,99.5161,0,0
82.3867,1.76008e+09,truck2,FV2,99.5657,0,0
82.4667,1.76008e+09,truck2,FV2,99.6072,0,0
82.6467,1.76008e+09,truck2,FV2,99.6422,0,0
82.7267,1.76008e+09,truck2,FV2,99.6721,0,0
82.8267,1.76008e+09,truck2,FV2,99.6978,0,0
82.9067,1.76008e+09,truck2,FV2,99.7201,0,0
82.9867,1.76008e+09,truck2,FV2,99.7396,0,0
83.0867,1.76008e+09,truck2,FV2,99.7568,0,0
83.1667,1.76008e+09,truck2,FV2,99.7721,0,0
83.3467,1.76008e+09,truck2,FV2,99.7857,0,0
83.4267,1.76008e+09,truck2,FV2,99.7979,0,0
83.5067,1.76008e+09,truck2,FV2,99.8089,0,0
83.6067,1.76008e+09,truck2,FV2,99.8187,0,0
83.6867,1.76008e+09,truck2,FV2,99.8277,0,0
83.7667,1.76008e+09,truck2,FV2,99.8357,0,0
83.8667,1.76008e+09,truck2,FV2,99.843,0,0
84.0267,1.76008e+09,truck2,FV2,99.8497,0,0
84.1267,1.76008e+09,truck2,FV2,99.8557,0,0
84.2067,1.76008e+09,truck2,FV2,99.8612,0,0
84.2867,1.76008e+09,truck2,FV2,99.8662,0,0
84.3867,1.76008e+09,truck2,FV2,99.8708,0,0
84.4667,1.76008e+09,truck2,FV2,99.8749,0,0
84.5667,1.76008e+09,truck2,FV2,99.8787,0,0
84.7267,1.76008e+09,truck2,FV2,99.8822,0,0
84.8267,1.76008e+09,truck2,FV2,99.8853,0,0
84.9067,1.76008e+09,truck2,FV2,99.8882,0,0
84.9867,1.76008e+09,truck2,FV2,99.8908,0,0
85.0867,1.76008e+09,truck2,FV2,99.8933,0,0
85.1667,1.76008e+09,truck2,FV2,99.8955,0,0
85.3467,1.76008e+09,truck2,FV2,99.8975,0,0
85.4267,1.76008e+09,truck2,FV2,99.8993,0,0
85.5067,1.76008e+09,truck2,FV2,99.901,0,0
85.6067,1.76008e+09,truck2,FV2,99.9025,0,0
85.6867,1.76008e+09,truck2,FV2,99.9039,0,0
85.7867,1.76008e+09,truck2,FV2,99.9052,0,0
85.8667,1.76008e+09,truck2,FV2,99.9064,0,0
86.0467,1.76008e+09,truck2,FV2,99.9075,0,0
