sim_time,real_time,truck_id,mode,SOC(%),distance(m),velocity(km/h)
1046.02,1.76026e+09,truck2,FV2,66.7954,0,0.00142175
1046.04,1.76026e+09,truck2,FV2,97.7268,0,0.00142175
1046.04,1.76026e+09,truck2,FV2,97.8819,0,0.00142175
1046.06,1.76026e+09,truck2,FV2,98.0766,0,0.00050148
1046.06,1.76026e+09,truck2,FV2,98.2918,0,0.00050148
1046.08,1.76026e+09,truck2,FV2,98.5093,0,0.000497748
1046.08,1.76026e+09,truck2,FV2,98.7141,0,0.000497748
1046.1,1.76026e+09,truck2,FV2,98.8971,0,0.000497748
1046.1,1.76026e+09,truck2,FV2,99.0544,0,0.000497748
1046.12,1.76026e+09,truck2,FV2,99.186,0,0.000488389
1046.12,1.76026e+09,truck2,FV2,99.2945,0,0.000488389
1046.14,1.76026e+09,truck2,FV2,99.3834,0,0.000486925
1046.14,1.76026e+09,truck2,FV2,99.4562,0,0.000486925
1046.16,1.76026e+09,truck2,FV2,99.5161,0,0.00048489
1046.16,1.76026e+09,truck2,FV2,99.5657,0,0.00048489
1046.18,1.76026e+09,truck2,FV2,99.6072,0,0.000483883
1046.18,1.76026e+09,truck2,FV2,99.6422,0,0.000483883
1046.2,1.76026e+09,truck2,FV2,99.6721,0,0.000483296
1046.2,1.76026e+09,truck2,FV2,99.6978,0,0.000483296
1046.22,1.76026e+09,truck2,FV2,99.7201,0,0.000483296
1046.22,1.76026e+09,truck2,FV2,99.7396,0,0.000483296
1046.24,1.76026e+09,truck2,FV2,99.7568,0,0.00142076
1046.24,1.76026e+09,truck2,FV2,99.7721,0,0.00142076
1046.26,1.76026e+09,truck2,FV2,99.7857,0,0.000497126
1046.26,1.76026e+09,truck2,FV2,99.7979,0,0.000497126
1046.28,1.76026e+09,truck2,FV2,99.8089,0,0.000495633
1046.28,1.76026e+09,truck2,FV2,99.8187,0,0.000495633
1046.3,1.76026e+09,truck2,FV2,99.8277,0,0.000491852
1046.3,1.76026e+09,truck2,FV2,99.8357,0,0.000491852
1046.32,1.76026e+09,truck2,FV2,99.843,0,0.000489543
1046.32,1.76026e+09,truck2,FV2,99.8497,0,0.000489543
1046.34,1.76026e+09,truck2,FV2,99.8557,0,0.000489543
1046.34,1.76026e+09,truck2,FV2,99.8612,0,0.000489543
1046.36,1.76026e+09,truck2,FV2,99.8662,0,0.000485774
1046.36,1.76026e+09,truck2,FV2,99.8708,0,0.000485774
1046.38,1.76026e+09,truck2,FV2,99.8749,0,0.000485774
1046.38,1.76026e+09,truck2,FV2,99.8787,0,0.000485774
1046.4,1.76026e+09,truck2,FV2,99.8822,0,0.000484811
1046.4,1.76026e+09,truck2,FV2,99.8853,0,0.000484811
1046.42,1.76026e+09,truck2,FV2,99.8882,0,0.0014212
1046.42,1.76026e+09,truck2,FV2,99.8908,0,0.0014212
1046.44,1.76026e+09,truck2,FV2,99.8933,0,0.000456069
1046.44,1.76026e+09,truck2,FV2,99.8955,0,0.000456069
1046.46,1.76026e+09,truck2,FV2,99.8975,0,0.000503682
1046.46,1.76026e+09,truck2,FV2,99.8993,0,0.000503682
1046.48,1.76026e+09,truck2,FV2,99.901,0,0.000499999
1046.48,1.76026e+09,truck2,FV2,99.9025,0,0.000499999
1046.5,1.76026e+09,truck2,FV2,99.9039,0,0.00049366
1046.5,1.76026e+09,truck2,FV2,99.9052,0,0.00049366
1046.52,1.76026e+09,truck2,FV2,99.9064,0,0.000489384
1046.52,1.76026e+09,truck2,FV2,99.9075,0,0.000489384
1046.54,1.76026e+09,truck2,FV2,99.9085,0,0.000485733
1046.54,1.76026e+09,truck2,FV2,99.9094,0,0.000485733
1046.56,1.76026e+09,truck2,FV2,99.9103,0,0.000484162
1046.56,1.76026e+09,truck2,FV2,99.911,0,0.000484162
1046.58,1.76026e+09,truck2,FV2,99.9117,0,0.000484162
1046.58,1.76026e+09,truck2,FV2,99.9124,0,0.000484162
1046.6,1.76026e+09,truck2,FV2,99.913,0,0.000484484
1046.6,1.76026e+09,truck2,FV2,99.9135,0,0.000484484
1046.62,1.76026e+09,truck2,FV2,99.9141,0,0.000484362
1046.62,1.76026e+09,truck2,FV2,99.9145,0,0.000484362
1046.64,1.76026e+09,truck2,FV2,99.9149,0,0.0014218
1046.64,1.76026e+09,truck2,FV2,99.9153,0,0.0014218
1046.66,1.76026e+09,truck2,FV2,99.9157,0,0.000452658
1046.66,1.76026e+09,truck2,FV2,99.916,0,0.000452658
