Step,pos_front,vel_front,Speed,Position,SOC,Throttle,Brake
0,2,20.8,0.0229761,0.00114881,65.2352,1,0
1,4,20.8,0.053611,0.00497816,97.4163,1,0
2,6,20.8,0.0842458,0.011871,97.3047,1,0
3,8,20.8,0.0895446,0.0205605,97.1878,0,-0.077932
4,10,20.8,0.0675611,0.0284158,97.0703,0,-0.7
5,12,20.8,0.0392985,0.0337588,96.9561,0,-0.7
6,14,20.8,0.0110359,0.0362755,96.8482,0,-0.7
7,16,20.8,-0.0172266,0.035966,96.7485,0,-0.7
8,18,20.8,-0.0454892,0.0328302,96.6579,0,-0.7
9,20,20.8,-0.0737518,0.0268681,96.5768,0,-0.7
10,22,20.8,-0.102014,0.0180798,96.505,0,-0.7
11,24,20.8,-0.130277,0.00646526,96.442,0,-0.7
12,26,20.8,-0.158539,-0.00797555,96.387,0,-0.7
13,28,20.8,-0.186802,-0.0252426,96.3393,0,-0.7
14,30,20.8,-0.215065,-0.045336,96.2979,0,-0.7
15,32,20.8,-0.243327,-0.0682555,96.2622,0,-0.7
16,34,20.8,-0.264903,-0.0936671,96.2314,0,-0.479178
17,36,20.8,-0.246764,-0.11925,96.2049,1,0
18,38,20.8,-0.216129,-0.142395,96.182,1,0
19,40,20.8,-0.185494,-0.162476,96.1623,1,0
20,42,20.8,-0.154859,-0.179494,96.1452,1,0
21,44,20.8,-0.124224,-0.193448,96.1304,1,0
22,46,20.8,-0.0935894,-0.204339,96.1174,1,0
23,48,20.8,-0.0629545,-0.212166,96.1061,1,0
24,50,20.8,-0.0323197,-0.21693,96.0961,1,0
25,52,20.8,-0.00168487,-0.21863,96.0872,1,0
26,54,20.8,0.02895,-0.217266,96.0793,1,0
27,56,20.8,0.0595848,-0.21284,96.0721,1,0
28,58,20.8,0.0902196,-0.20535,96.0657,1,0
29,60,20.8,0.120854,-0.194796,96.0599,1,0
30,62,20.8,0.151489,-0.181179,96.0546,1,0
31,64,20.8,0.182124,-0.164498,96.0497,1,0
32,66,20.8,0.212759,-0.144754,96.0451,1,0
33,68,20.8,0.243394,-0.121946,96.041,1,0
34,70,20.8,0.274029,-0.096075,96.037,1,0
35,72,20.8,0.304663,-0.0671404,96.0334,1,0
36,74,20.8,0.335298,-0.0351423,96.03,1,0
37,76,20.8,0.365933,-8.0772e-05,96.0268,1,0
38,78,20.8,0.396568,0.0380443,96.0237,1,0
39,80,20.8,0.427203,0.0792328,96.0208,1,0
40,82,20.8,0.457838,0.123485,96.0181,1,0
41,84,20.8,0.488472,0.1708,96.0156,1,0
42,86,20.8,0.519107,0.221179,96.0131,1,0
43,88,20.8,0.549742,0.274622,96.0108,1,0
44,90,20.8,0.580377,0.331128,96.0086,1,0
45,92,20.8,0.611012,0.390697,96.0065,1,0
46,94,20.8,0.641647,0.45333,96.0045,1,0
47,96,20.8,0.672281,0.519027,96.0026,1,0
48,98,20.8,0.702916,0.587786,96.0007,1,0
49,100,20.8,0.733551,0.65961,95.999,1,0
50,102,20.8,0.764186,0.734497,95.9973,1,0
51,104,20.8,0.794821,0.812447,95.9957,1,0
52,106,20.8,0.825456,0.893461,95.9942,1,0
53,108,20.8,0.85609,0.977538,95.9927,1,0
54,110,20.8,0.886725,1.06468,95.9913,1,0
55,112,20.8,0.91736,1.15488,95.99,1,0
56,114,20.8,0.947995,1.24815,95.9887,1,0
57,116,20.8,0.97863,1.34448,95.9875,1,0
58,118,20.8,1.00926,1.44388,95.9863,1,0
59,120,20.8,1.0399,1.54634,95.9851,1,0
60,122,20.8,1.07053,1.65186,95.9839,1,0
61,124,20.8,1.10117,1.76044,95.9828,1,0
62,126,20.8,1.1318,1.87209,95.9816,1,0
63,128,20.8,1.16244,1.9868,95.9805,1,0
64,130,20.8,1.19307,2.10458,95.9794,1,0
65,132,20.8,1.22371,2.22542,95.9783,1,0
66,134,20.8,1.25434,2.34932,95.9773,1,0
67,136,20.8,1.28498,2.47629,95.9763,1,0
68,138,20.8,1.31561,2.60632,95.9753,1,0
69,140,20.8,1.34625,2.73941,95.9743,1,0
70,142,20.8,1.37688,2.87557,95.9734,1,0
71,144,20.8,1.40752,3.01479,95.9724,1,0
72,146,20.8,1.43815,3.15707,95.9715,1,0
73,148,20.8,1.46879,3.30242,95.9706,1,0
74,150,20.8,1.49942,3.45083,95.9697,1,0
