Step,TargetSpeed,pos_follow,Speed,Position,SOC
0,75,0,0,0,65.2261
1,75,0,0.0248228,0,97.4093
2,75,0,0.0496456,0,97.2856
3,75,0,0.0744684,0.00248228,97.1533
4,75,0,0.0992911,0.00744684,97.0186
5,75,0,0.124114,0.0148937,96.8867
6,75,0,0.148937,0.0248228,96.7617
7,75,0,0.173759,0.0372342,96.646
8,75,0,0.198582,0.0521278,96.5413
9,75,0,0.223405,0.0695038,96.4478
10,75,0,0.248228,0.089362,96.3654
11,75,0,0.273051,0.111703,96.2933
12,75,0,0.297873,0.136525,96.2306
13,75,0,0.322696,0.16383,96.1762
14,75,0,0.347519,0.193618,96.1291
15,75,0,0.372342,0.225887,96.0883
16,75,0,0.397165,0.260639,96.0528
17,75,0,0.421987,0.297873,96.0219
18,75,0,0.44681,0.33759,95.9949
19,75,0,0.471633,0.379789,95.9711
20,75,0,0.496456,0.42447,95.9501
21,75,0,0.521278,0.471633,95.9315
22,75,0,0.546101,0.521278,95.9148
23,75,0,0.570924,0.573406,95.8998
24,75,0,0.595747,0.628016,95.8862
25,75,0,0.62057,0.685109,95.8738
26,75,0,0.645392,0.744684,95.8624
27,75,0,0.670215,0.806741,95.852
28,75,0,0.695038,0.87128,95.8423
29,75,0,0.719861,0.938301,95.8333
30,75,0,0.744684,1.00781,95.8249
31,75,0,0.769506,1.07979,95.817
32,75,0,0.794329,1.15426,95.8095
33,75,0,0.819152,1.23121,95.8025
34,75,0,0.843975,1.31064,95.7958
35,75,0,0.868797,1.39256,95.7895
36,75,0,0.89362,1.47696,95.7835
37,75,0,0.918443,1.56384,95.7777
38,75,0,0.943266,1.6532,95.7722
39,75,0,0.968089,1.74504,95.767
40,75,0,0.992911,1.83937,95.762
41,75,0,1.01773,1.93618,95.7571
42,75,0,1.04256,2.03547,95.7525
43,75,0,1.06738,2.13724,95.748
44,75,0,1.0922,2.2415,95.7437
45,75,0,1.11703,2.34824,95.7395
46,75,0,1.14185,2.45746,95.7355
47,75,0,1.16667,2.56916,95.7316
48,75,0,1.19149,2.68334,95.7278
49,75,0,1.21632,2.80001,95.7242
50,75,0,1.24114,2.91916,95.7206
51,75,0,1.26596,3.04079,95.7172
52,75,0,1.29078,3.16491,95.7139
53,75,0,1.31561,3.2915,95.7107
54,75,0,1.34043,3.42058,95.7075
55,75,0,1.36525,3.55214,95.7045
56,75,0,1.39008,3.68618,95.7015
57,75,0,1.4149,3.82271,95.6986
58,75,0,1.43972,3.96172,95.6958
59,75,0,1.46454,4.10321,95.6931
60,75,0,1.48937,4.24718,95.6904
61,75,0,1.51419,4.39363,95.6877
62,75,0,1.53901,4.54257,95.6851
63,75,0,1.56384,4.69399,95.6826
64,75,0,1.58866,4.84789,95.6801
65,75,0,1.61348,5.00427,95.6777
66,75,0,1.6383,5.16314,95.6753
67,75,0,1.66313,5.32449,95.6729
68,75,0,1.68795,5.48832,95.6706
69,75,0,1.71277,5.65463,95.6683
70,75,0,1.73759,5.82343,95.6661
71,75,0,1.76242,5.9947,95.6639
72,75,0,1.78724,6.16846,95.6617
73,75,0,1.81206,6.3447,95.6595
74,75,0,1.83689,6.52343,95.6574
75,75,0,1.86171,6.70463,95.6553
76,75,0,1.88653,6.88832,95.6532
77,75,0,1.91135,7.07449,95.6511
78,75,0,1.93618,7.26315,95.649
79,75,0,1.961,7.45428,95.647
80,75,0,1.98582,7.6479,95.645
81,75,0,2.01065,7.844,95.643
82,75,0,2.03547,8.04258,95.641
83,75,0,2.06029,8.24365,95.639
84,75,0,2.08511,8.44719,95.637
85,75,0,2.10994,8.65322,95.6351
86,75,0,2.13476,8.86173,95.6331
87,75,0,2.15958,9.07273,95.6312
88,75,0,2.18441,9.2862,95.6292
89,75,0,2.20923,9.50216,95.6273
90,75,0,2.23405,9.7206,95.6254
91,75,0,2.25887,9.94153,95.6235
92,75,0,2.2837,10.1649,95.6216
93,75,0,2.30852,10.3908,95.6197
94,75,0,2.33334,10.6192,95.6178
95,75,0,2.35816,10.85,95.6159
96,75,0,2.38299,11.0834,95.6141
97,75,0,2.40781,11.3192,95.6122
98,75,0,2.43263,11.5575,95.6103
99,75,0,2.45746,11.7983,95.6084
100,75,0.0415329,2.48228,12.0415,95.6066
101,75,0.287278,2.5071,12.2873,95.6047
102,75,0.535506,2.53192,12.5355,95.6029
103,75,0.786216,2.55675,12.7862,95.601
104,75,1.03941,2.58157,13.0394,95.5991
105,75,1.29508,2.60639,13.2951,95.5973
106,75,1.55324,2.63122,13.5532,95.5954
107,75,1.81388,2.65604,13.8139,95.5936
108,75,2.077,2.68086,14.077,95.5917
109,75,2.34261,2.70568,14.3426,95.5899
110,75,2.61069,2.73051,14.6107,95.588
111,75,2.88126,2.75533,14.8813,95.6184
112,75,3.15431,2.78015,15.1543,95.6842
113,75,3.42984,2.80497,15.4298,95.7913
114,75,3.70786,2.8298,15.7079,95.9494
115,75,3.98836,2.85462,15.9884,96.1688
