x,y,z,yaw,road_id,lane_id
527.598,-24.387,0.000,-179.87,1206,-7
527.591,-20.887,0.000,-179.87,1206,-6
527.583,-17.387,0.000,-179.87,1206,-5
527.575,-13.887,0.000,-179.87,1206,-4
527.568,-10.387,0.000,-179.87,1206,-3
525.598,-24.391,0.000,-179.87,1206,-7
525.591,-20.891,0.000,-179.87,1206,-6
525.583,-17.391,0.000,-179.87,1206,-5
525.575,-13.891,0.000,-179.87,1206,-4
525.568,-10.391,0.000,-179.87,1206,-3
523.598,-24.395,0.000,-179.87,1206,-7
523.591,-20.896,0.000,-179.87,1206,-6
523.583,-17.396,0.000,-179.87,1206,-5
523.575,-13.896,0.000,-179.87,1206,-4
523.568,-10.396,0.000,-179.87,1206,-3
521.598,-24.400,0.000,-179.87,1206,-7
521.591,-20.900,0.000,-179.87,1206,-6
521.583,-17.400,0.000,-179.87,1206,-5
521.575,-13.900,0.000,-179.87,1206,-4
521.568,-10.400,0.000,-179.87,1206,-3
519.598,-24.404,0.000,-179.87,1206,-7
519.591,-20.904,0.000,-179.87,1206,-6
519.583,-17.404,0.000,-179.87,1206,-5
519.575,-13.904,0.000,-179.87,1206,-4
519.568,-10.404,0.000,-179.87,1206,-3
517.598,-24.409,0.000,-179.87,1206,-7
517.591,-20.909,0.000,-179.87,1206,-6
517.583,-17.409,0.000,-179.87,1206,-5
517.575,-13.909,0.000,-179.87,1206,-4
517.568,-10.409,0.000,-179.87,1206,-3
515.598,-24.413,0.000,-179.87,1206,-7
515.591,-20.913,0.000,-179.87,1206,-6
515.583,-17.413,0.000,-179.87,1206,-5
515.575,-13.913,0.000,-179.87,1206,-4
515.568,-10.413,0.000,-179.87,1206,-3
513.598,-24.417,0.000,-179.87,1206,-7
513.591,-20.917,0.000,-179.87,1206,-6
513.583,-17.417,0.000,-179.87,1206,-5
513.575,-13.917,0.000,-179.87,1206,-4
513.568,-10.417,0.000,-179.87,1206,-3
511.598,-24.422,0.000,-179.87,1206,-7
511.591,-20.922,0.000,-179.87,1206,-6
511.583,-17.422,0.000,-179.87,1206,-5
511.575,-13.922,0.000,-179.87,1206,-4
511.568,-10.422,0.000,-179.87,1206,-3
509.598,-24.426,0.000,-179.87,1206,-7
509.591,-20.926,0.000,-179.87,1206,-6
509.583,-17.426,0.000,-179.87,1206,-5
509.575,-13.926,0.000,-179.87,1206,-4
